Date,State,Confirmed,Deaths,Recovered
30-01-2020,Kerala,1,,
02-02-2020,Kerala,2,,
03-02-2020,Kerala,3,,
02-03-2020,Kerala,3,,
02-03-2020,Delhi,1,,
02-03-2020,Telangana,1,,
03-03-2020,Kerala,3,,
03-03-2020,Delhi,1,,
03-03-2020,Telangana,1,,
03-03-2020,Rajasthan,1,,
04-03-2020,Haryana,14,,
04-03-2020,Uttar Pradesh,6,,
04-03-2020,Kerala,3,,
04-03-2020,Rajasthan,3,,
04-03-2020,Delhi,1,,
04-03-2020,Telangana,1,,
05-03-2020,Haryana,14,,
05-03-2020,Uttar Pradesh,6,,
05-03-2020,Kerala,3,,
05-03-2020,Rajasthan,3,,
05-03-2020,Delhi,3,,
05-03-2020,Telangana,1,,
06-03-2020,Haryana,14,,
06-03-2020,Uttar Pradesh,6,,
06-03-2020,Kerala,3,,
06-03-2020,Rajasthan,3,,
06-03-2020,Delhi,4,,
06-03-2020,Telangana,1,,
07-03-2020,Haryana,14,,
07-03-2020,Uttar Pradesh,6,,
07-03-2020,Kerala,3,,
07-03-2020,Rajasthan,3,,
07-03-2020,Delhi,4,,
07-03-2020,Ladakh,2,,
07-03-2020,Tamil Nadu,1,,
07-03-2020,Telangana,1,,
07-03-2020,Andhra Pradesh,1,,
07-03-2020,Bihar,1,,
08-03-2020,Haryana,14,,
08-03-2020,Uttar Pradesh,6,,
08-03-2020,Kerala,8,,
08-03-2020,Rajasthan,3,,
08-03-2020,Delhi,4,,
08-03-2020,Ladakh,2,,
08-03-2020,Tamil Nadu,1,,
08-03-2020,Telangana,1,,
08-03-2020,Andhra Pradesh,1,,
08-03-2020,Bihar,1,,
09-03-2020,Haryana,14,,
09-03-2020,Uttar Pradesh,7,,
09-03-2020,Kerala,9,,
09-03-2020,Rajasthan,3,,
09-03-2020,Delhi,5,,
09-03-2020,Ladakh,2,,
09-03-2020,Tamil Nadu,1,,
09-03-2020,Telangana,1,,
09-03-2020,Andhra Pradesh,1,,
09-03-2020,Bihar,1,,
09-03-2020,Jammu and Kashmir,1,,
09-03-2020,Punjab,1,,
10-03-2020,Haryana,14,,
10-03-2020,Uttar Pradesh,7,,
10-03-2020,Kerala,11,,
10-03-2020,Rajasthan,3,,
10-03-2020,Delhi,5,,
10-03-2020,Ladakh,2,,
10-03-2020,Tamil Nadu,1,,
10-03-2020,Telangana,1,,
10-03-2020,Andhra Pradesh,1,,
10-03-2020,Bihar,1,,
10-03-2020,Jammu and Kashmir,1,,
10-03-2020,Punjab,1,,
10-03-2020,Karnataka,4,,
10-03-2020,Maharashtra,2,,
11-03-2020,Haryana,14,,
11-03-2020,Uttar Pradesh,7,,
11-03-2020,Kerala,19,,
11-03-2020,Rajasthan,4,,
11-03-2020,Delhi,6,,
11-03-2020,Ladakh,2,,
11-03-2020,Tamil Nadu,1,,
11-03-2020,Telangana,1,,
11-03-2020,Andhra Pradesh,1,,
11-03-2020,Bihar,1,,
11-03-2020,Jammu and Kashmir,1,,
11-03-2020,Punjab,1,,
11-03-2020,Karnataka,4,,
11-03-2020,Maharashtra,2,,
12-03-2020,Haryana,14,,
12-03-2020,Uttar Pradesh,11,,
12-03-2020,Kerala,19,,
12-03-2020,Rajasthan,4,,
12-03-2020,Delhi,6,,
12-03-2020,Ladakh,3,,
12-03-2020,Tamil Nadu,1,,
12-03-2020,Telangana,1,,
12-03-2020,Andhra Pradesh,1,,
12-03-2020,Bihar,1,,
12-03-2020,Jammu and Kashmir,1,,
12-03-2020,Punjab,1,,
12-03-2020,Karnataka,4,,
12-03-2020,Maharashtra,11,,
13-03-2020,Haryana,14,,
13-03-2020,Uttar Pradesh,11,,
13-03-2020,Kerala,19,,
13-03-2020,Rajasthan,4,,
13-03-2020,Delhi,6,,
13-03-2020,Ladakh,3,,
13-03-2020,Tamil Nadu,1,,
13-03-2020,Telangana,1,,
13-03-2020,Andhra Pradesh,1,,
13-03-2020,Bihar,1,,
13-03-2020,Jammu and Kashmir,1,,
13-03-2020,Punjab,1,,
13-03-2020,Karnataka,6,,
13-03-2020,Maharashtra,11,,
13-03-2020,Chhattisgarh,1,,
14-03-2020,Haryana,14,,
14-03-2020,Uttar Pradesh,12,,
14-03-2020,Kerala,19,,
14-03-2020,Rajasthan,4,,
14-03-2020,Delhi,7,,
14-03-2020,Ladakh,3,,
14-03-2020,Tamil Nadu,1,,
14-03-2020,Telangana,1,,
14-03-2020,Andhra Pradesh,1,,
14-03-2020,Bihar,1,,
14-03-2020,Jammu and Kashmir,2,,
14-03-2020,Punjab,1,,
14-03-2020,Karnataka,6,,
14-03-2020,Maharashtra,14,,
14-03-2020,Chhattisgarh,1,,
15-03-2020,Haryana,14,,
15-03-2020,Uttar Pradesh,13,,
15-03-2020,Kerala,22,,
15-03-2020,Rajasthan,4,,
15-03-2020,Delhi,7,,
15-03-2020,Ladakh,3,,
15-03-2020,Tamil Nadu,1,,
15-03-2020,Telangana,3,,
15-03-2020,Andhra Pradesh,1,,
15-03-2020,Bihar,1,,
15-03-2020,Jammu and Kashmir,2,,
15-03-2020,Punjab,1,,
15-03-2020,Karnataka,6,,
15-03-2020,Maharashtra,32,,
15-03-2020,Chhattisgarh,1,,
15-03-2020,Uttarakhand,1,,
16-03-2020,Haryana,14,,
16-03-2020,Uttar Pradesh,13,,
16-03-2020,Kerala,23,,
16-03-2020,Rajasthan,4,,
16-03-2020,Delhi,7,,
16-03-2020,Ladakh,4,,
16-03-2020,Tamil Nadu,1,,
16-03-2020,Telangana,3,,
16-03-2020,Andhra Pradesh,1,,
16-03-2020,Bihar,1,,
16-03-2020,Jammu and Kashmir,3,,
16-03-2020,Punjab,1,,
16-03-2020,Karnataka,6,,
16-03-2020,Maharashtra,32,,
16-03-2020,Chhattisgarh,1,,
16-03-2020,Uttarakhand,1,,
16-03-2020,Odisha,1,,
17-03-2020,Haryana,15,,
17-03-2020,Uttar Pradesh,15,,
17-03-2020,Kerala,26,,
17-03-2020,Rajasthan,4,,
17-03-2020,Delhi,8,,
17-03-2020,Ladakh,6,,
17-03-2020,Tamil Nadu,1,,
17-03-2020,Telangana,5,,
17-03-2020,Andhra Pradesh,1,,
17-03-2020,Bihar,2,,
17-03-2020,Jammu and Kashmir,3,,
17-03-2020,Punjab,1,,
17-03-2020,Karnataka,11,,
17-03-2020,Maharashtra,39,,
17-03-2020,Chhattisgarh,1,,
